"AGE","ECONPRIM","ETHGROUP","MSTATUS","QUALNUM","SEX","SOCLASS","HHSPTYPE","TENURE","COBIRTH_dv","COBIRTH"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","other","6"
1,NA,"Black Oth","Single","0","Female",NA,"Semi-det","Rent priv furn","UK","1"
1,NA,"Black Afr","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Detached","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"Black Oth","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"Black Car","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"Other Asian","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"Indian","Single","0","Female",NA,"Semi-det","Own-occ outr","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"Black Oth","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"Black Car","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"Other Asian","Single","0","Female",NA,"Detached","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Conv Flat","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"Bangladeshi","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Detached","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Flat-res","Rent HsAssoc","other","40"
1,NA,"Black Oth","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"Pakistani","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent priv unf","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Conv Flat","Rent priv furn","other","33"
1,NA,"Pakistani","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Own-occ outr","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ outr","UK","1"
1,NA,"Black Oth","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","other","11"
1,NA,"Black Car","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"Black Car","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"Black Car","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"Black Car","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"Black Oth","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"Black Oth","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"Black Car","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Flat-comm","Rent job","UK","1"
1,NA,"Black Car","Single","0","Female",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Own-occ outr","UK","1"
1,NA,"Other Asian","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
1,NA,"Pakistani","Single","0","Male",NA,"Terraced","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
1,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
1,NA,"Pakistani","Single","0","Male",NA,"Terraced","Rent priv furn","UK","1"
1,NA,"Indian","Single","0","Male",NA,"Semi-det","Own-occ outr","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
1,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"Other","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
2,NA,"Pakistani","Single","0","Female",NA,"Terraced","Rent LA","other","18"
2,NA,"Other","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Flat-res","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Flat-comm","Rent job","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Detached","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Detached","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Semi-det","Rent priv furn","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent priv furn","UK","1"
2,NA,"White","Single","0","Female",NA,"Flat-comm","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Own-occ outr","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Semi-det","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent priv unf","UK","1"
2,NA,"White","Single","0","Female",NA,"Terraced","Rent LA","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent HsAssoc","UK","1"
2,NA,"White","Single","0","Male",NA,"Flat-res","Rent LA","UK","4"
2,NA,"White","Single","0","Female",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"Pakistani","Single","0","Male",NA,"Semi-det","Own-occ buy","UK","1"
2,NA,"White","Single","0","Male",NA,"Terraced","Rent LA","UK","1"
